Location,Price,Bedrooms,Bathrooms,Parking,Floor Size,Erf Size,Description
Zonnebloem,1375000,2,1,1,59,,"            No matter what’s happening in the market, when investing, ensure you put your money in a ...        "
Philippi,1399000,,,,785,,"            785m2 Warehouse available in Philippi.Warehouse divided into two sections, one section ...        "
CapeTownCityCentre,3250000,2,2.5,1,155,,            Exceptional  155 square meters of art deco apartment in the iconic Mutual Heights Building. Combine that old world style with heaps ...        
Meadowridge,4300000,6,3,5,,803,            Great opportunity to buy a beautiful renovated home in a quiet road in Meadowridge with ...        
ThreeAnchorBay,4100000,2,1,2,72,,"            Positioned in the ever-so-popular Three Anchor Bay, This bright, tasteful, open-plan ...        "
ThreeAnchorBay,3950000,2,2,1,98,,            This gorgeous 2 bedroom / 2 bathroom apartment is the perfect investment property or home for professionals wanting to be close to ...        
Newlands,2495000,2,1,2,103,,            Situated in an incredible location - Albion Mill is perfect for young professionals or ...        
Wetton,9800000,5,4.5,10,,4365,"            Exclusive Sole Mandate!This property situated in Wetton, Cape Town is being sold as a going concern with a successfully established ...        "
Fresnaye,5800000,3,2,2,108,,"            Quiet and Bright FresnayeSet high up in Fresnaye this 3 bedroomed, 2 bathroom ...        "
Rondebosch,1800000,2,1,1,74,,"            CHIC GROUND FLOOR APARTMENTLovely two-bedroom apartment located in a sought-after pocket of Rondebosch-Village, near the Newlands ...        "
Kenilworth,3300000,4,2,4,,496,"            ***SOLE MANDATE***Attention home seekers! This well-maintained, solidly built 4 bedroom property located close to some of ...        "
SeaPoint,4500000,1,1,1,96,,"            LOCATIONBantry Hills, Prime Real EstateSituated a stone throw away from some of Cape ...        "
Kenilworth,2195000,3,,3,144,,            They don't build them this big anymore !This lovely spacious 3 bedroom townhouse ...        
GreenPoint,3050000,2,1,,77,,"            This spacious, 2 bedroom, West-facing apartment in the heart of Green Point is situated ...        "
Meadowridge,3750000,3,1.5,6,,,            Situated on a corner plot within a stones throw of Bergvliet High School  and walking ...        
Oranjezicht,5995000,3,2,2,,315,"            Situated high in Upper Gardens, this immaculate free standing home offers relaxed ...        "
GreenPoint,4850000,3,3,1,,165,"            Original victorian situated at the green point village.A very beautiful Terrace Victorian with high ceilings, original Oregon pine ...        "
Fresnaye,5995000,4,4,1,175,,"            This super-sized duplex top floor 4 bedroom, 4 bathroom Fresnaye apartment is filled with natural light & in excellent condition ...        "
Constantia,2895000,2,1,2,81,,"            Located on leafy Doordrift Road in the highly sought after Rushmere complex, this home ...        "
SeaPoint,1795000,1,1,,47,,"            Fantastic 1 bedroom, 1 bathroom apartment, situated in the well-maintained Rapallo. ...        "
Vredehoek,2595000,2,1.5,,87,,            Exclusive Mandate | Charming Garden Apartment in Sought After VredehoekWelcome home to ...        
Observatory,1950000,2,1,1,,186,"            This charming home is located near transport routes very close to UCT, Groote Schuur and main arterials. The property has all the ...        "
GreenPoint,4950000,2,1,,,163,"            A charming home, close to the vibey Green Point Village, featuring 2 bedrooms 1 stunning bathroom and an open plan kitchen which flows ...        "
Vredehoek,6995000,5,3,1,,229,            This unique house is not to be missed. Neat as a pin and in great condition. It can be utilized in multiple ways:- Dual living eg. ...        
Observatory,3350000,3,2,1,91,,            This 3 bedroom 2 bathroom apartment has a lovely large lounge / dining area with an open ...        
HarfieldVillage,1545000,2,1,1,86,,            Take advantage of the low interest rates and get in on the property ladder. Spacious 2 ...        
Philadelphia,2950000,3,2,7,,919,"            SOLE MANDATE-New ReleaseNestled between the Swartland vineyards and Canola fields, the ...        "
Maitland,450000,1,1,1,26,,"            This is located in a secure complex with 24 hour manned security, biometric entrance and ...        "
Vredehoek,3400000,2,2,5,115,,            ART DECO DELIGHT HOUSE LIKE  115sq meters in size. Boasting High Ceilings and Wooden ...        
SeaPoint,3195000,2,1,1,,144,            This home has been designed with a light and open feel. Come and experience a homely ...        
Pinelands,3250000,3,2,3,,811,            New Release. Sole MandateSituated on a corner plot this home is perfectly positioned ...        
Tokai,1550000,2,1,1,62,,            This lock up and go is the perfect balance between city and suburban lifestyle. ...        
KenilworthUpper,4995000,3,2.5,1,191,,"            Stylish double storey home with garden in small, exclusive complex in upper kenilworth.This corner unit offers privacy and security ...        "
Lansdowne,45000000,,,,3000,,"            A very large building comprising of 11 conference rooms, accommodation rooms, kitchens ...        "
Rosebank,1550000,2,1.5,1,82,,"            This 2 bedroom, North-Facing apartment offers spacious living area that leads onto a balcony that overlooks a lush garden area. Each ...        "
Capricorn,8800000,,,,1150,,"            Comprised of offices, a boardroom, spacious warehouse, kitchen and ablution facilities - ...        "
CapeTownCityCentre,1695000,2,2,1,59,,            Incredible price for a 2 bed 2 bath with a view like this!Situated in the ever so ...        
Gardens,2950000,3,3,,,155,"            Immaculately renovated three bedroom, three bathroom cottage with open-plan living and ...        "
ClaremontUpper,12995000,3,3.5,7,,878,"            An exceptional property that exudes extraordinary character and beauty. High ceilings, Juliette balconies, wrought ironwork, natural ...        "
ClaremontUpper,6650000,2,2,2,,498,            This well maintained double storey townhouse offers the easy living without compromising on space. The entrance hall takes you directly ...        
Rosebank,950000,0.5,1,1,41,,            This studio apartment is a great starter apartment at a very affordable price and is ...        
Bergvliet,3729000,5,3,2,,1259,"            This large family home set on 1259 square metres, with a beautifully treed garden, awaits a new owner to complete the picture!The ...        "
Observatory,1795000,2,1,1,64,,            Do not mis out on this fantastic 2-bedroom unit that includes 1 parking bay and a store ...        
GreenPoint,2495000,1,1,1,82,,            This 82 square meter apartment exudes character and charm. One of only 9 apartments in ...        
Vredehoek,3449999,2,1,2,104,,            This home will dazzle you from the moment you walk through the door.  Discover this upmarket and exclusive home that is nestled in a ...        
Woodstock,1940000,1,1,,65,,            Chic - Sleek - On FleekThis large stylish 1 bedroom apartment with clean lines and amazing open spaces is set in an up and coming ...        
Kenilworth,4950000,4,3.5,4,,703,            Downstairs: The formal dining room has wooden floors and is big enough to comfortably fit an 8- seater dining room table. It leads into ...        
StonehurstMountainEstate,6750000,3,3.5,5,,607,            This stunning house has been built with thought and care. A lot of work has gone in to making it as green friendly and efficient as ...        
Observatory,3795000,4,2,4,,197,            PRICE INCLUDES TRANSFER DUTY – equivalent of buying for R3.3m + transfer. (Or buying ...        
Woodstock,2550000,2,1,1,70,,            Situated in the sought after Wex Apartment complete with a pool and restaurant with a ...        
CapeTownCityCentre,2850000,1,1,1,72,,"            A beautiful loft apartment in the coolest part of the Mother City, full of light, views ...        "
ClaremontUpper,9900000,3,2.5,4,,714,"            This is a classic property with a wonderful flow from the hub of the home to the serene, private garden setting with its wonderful ...        "
Fresnaye,10500000,3,2,3,,496,            OLD WORLD CHARMExclusive Sole mandateA fantastic opportunity to own a solid family ...        
Pinelands,1425000,2,1,1,52,,            Duplex in sought after Howard Hamlet security complex.Neat as a pin this property offers: Downstairs:  Open plan tiled lounge and ...        
Observatory,1380000,1,1,1,37,,"            NEAT BACHELOR UNIT INCLUDING ALL FURNITURE, APPLIANCES AND CROCKERY The lovely light ...        "
WalmerEstate,3750000,,,,,308,"            Looking for a home for the extended family, or a home with income generating flatlets ...        "
Constantia,11250000,4,4.5,11,,4078,"            Set on over and acre, with a beautifully established garden, in the much loved pocket of Hohenhort, this superbly located property is ...        "
Vredehoek,3450000,2,1.5,2,104,,            This modern duplex apartment is located within the High Cape 3 security estate along Avenue Massif. The property boasts Two bedrooms  ...        
Rondebosch,1750000,2,1,1,79,,"            Rule the roost at Rusdon!This apartment located in sought-after Rusdon Park offers its new owner views, spacious living areas and can ...        "
Woodstock,2295000,2,1,3,64,,"            The Iron Works is a rejuvenated mixed-use development comprising retail, parking and ...        "
Lansdowne,1100000,2,1,1,70,,"            Location is key! Lansdowne remains a sought after area to reside in. Come and view this 2 bedroom apartment, ready to move in and live. ...        "
SeaPoint,2750000,2,1.5,1,97,,"            Punta Del Mar between Beach and Main Road!This 2 bedroom, 1½ bathroom apartment ...        "
Tokai,6600000,7,5,6,,994,            Perfect home for the extended family or income generator 2 separate flatlets or income ...        
WynbergUpper,1495000,2,1,1,74,,            Sole MandateBest priced renovation project with splendid mountain views !!In need of ...        
Kirstenhof,1487000,2,1,1,63,,"            Well suited for first time owners or investors, this North facing townhouse in popular ...        "
GreenPoint,5350000,2,2,2,125,,            The absolute perfect lock up and go Cape Town pad. Bordering the V&A Waterfront and ...        
Newlands,1750000,1,1,1,49,,"            Situated in the heart of Newlands just off dean street, this sunny one-bedroomed apartment has been well-kept and features modern ...        "
ClaremontUpper,8500000,5,4,3,,1011,            We will be hosting a Virtual Show day this Sunday from 14:00 to 17:00. Do not miss out ...        
Pinelands,975000,2,1,1,55,,            First Floor 2 bedroom apartment in Anfield VillageAnfield Village is a large complex ...        
ClaremontUpper,2150000,2,1.5,1,82,,            This stunning renovated top floor corner unit is situated in a well sought apartment ...        
CapeTownCityCentre,2499000,2,2,1,66,,"            Gorgeous 2 bed, 2 bath apartment including a secure parking bay and a storeroom. Harbour views from the open plan kitchen, living room ...        "
Constantia,12900000,4,3,2,,2613,"            This private home, close to renown wine farms, offers excellent security being down a pan handle. With grand proportions and wonderful ...        "
MouillePoint,3800000,2,1,1,86,,            Modern in all respects and in first class excellent condition.This unit has excellent ...        
Bergvliet,3925000,3,2,4,,833,"            Spacious and Gracious Home, with a teen pad/flatlet, in a quiet, tranquil setting Set ...        "
CapeTownCityCentre,1650000,1,1,1,37,,"            Situated in sough after Four Seasons and offered on exclusive mandate, this immaculate ...        "
PaardenEiland,2950000,,,,,,            250sqm Light bright and clean this unit is a must to view. It has 4 P/Bays plus loading ...        
Gardens,8400000,6,6,2,,408,"            Spacious and modern, triple storey, 6 bedroom, 6 bathroom(all bedrooms en-suite) home in a prime location, with Table Mountain as ...        "
WynbergUpper,1650000,2,1.5,2,105,,            Tyson Properties presents this large 2 bedroom apartment centrally located on the boarder of Wynberg Upper and Constantia. This unique ...        
DeWaterkant,2900000,1,1,1,38,,"            Situated in the heart of the gorgeous de Waterkant area, the Docklands building is a sought-after development with cutting edge ...        "
StonehurstMountainEstate,6750000,3,3,4,,614,            Three Bedroom single story home for sale in Stonehurst Estate.Offering an eco-friendly home incorporating water and energy saving ...        
ClaremontUpper,1695000,1,1.5,,61,,"            Everything you need in this upmarket apartment, located in the heart of Claremont. ...        "
Tokai,1195000,1,1,,49,,            This loft apartment located in popular Mont Bleu is a stone through away from the Blue Route Mall but tucked away in a quiet ...        
WynbergUpper,2300000,3,2,2,126,,            This not to be missed three bedroom townhouse is located in a sought after complex in Wynberg Upper. The kitchen boasts a double sink ...        
Rondebosch,2395000,3,2,,112,,"            This stunning and spacious, 3 bedroom, 2 bathroom top floor apartment is situated in the heart of Rondebosch Village and could not be ...        "
Woodstock,6500000,,,,280,,"            This Stand-alone building measures a total GLA of 280 sqm, which is split over two ...        "
BantryBay,24950000,3,4,2,405,,"            Great location, beautiful views and high end contemporary features and finishes through out.The apartment comprises  3 generous ...        "
Muizenberg,1350000,3,1,1,88,,            Stunning 3 Bed Apartment for sale in Muizenberg. This sought after apartment is in the ...        
Newlands,7450000,5,3,2,,595,"            Warm and inviting, this family home welcomes you with open arms. On a level plot in ...        "
StonehurstMountainEstate,6750000,3,3.5,5,,614,            Looking for a home that offers all the modern necessities whilst allowing you the option to go completely off the grid water wise. This ...        
DeWaterkant,5200000,2,1.5,,,79,"            The price includes VAT, so no transfer duty applicable.Own a piece of history in the ...        "
Wynberg,780000,2,1,2,73,,            The ideal lock up and go perfect for starting out or scaling down.Positioned on the ...        
Observatory,895000,0.5,1,1,32,,            Get Your Foot In The Door!Exclusive MandateAn apartment in Observatory that ticks all the boxes for both first time buyers getting ...        
Gardens,1390000,1,1,1,58,,"            Tyson Properties brings you this lovely, affordable one-bedroom apartment in the ...        "
Retreat,2095000,3,2,3,,200,"            Centrally located - Excellent security - Move-In-ReadyThis stunning, north-facing, well maintained double storey townhouse with ...        "
Kenilworth,1830000,2,2,2,61,,"            Sale includes all furniture! Price is VAT inclusive, therefore no transfer duty is payable.Built in only 2017 with only 1 owner ...        "
RondeboschVillage,1999999,3,1.5,1,87,,"            Do not hesitate to come and view this exquisite, newly renoveted, duplex apartment. Ideally located in Rondebosch Village, this unit is ...        "
Fairways,1950000,3,2,1,,495,            This property is located in the sort after suburb of Fairways. The solid structured build home is very neat and ready to move in ...        
KenilworthUpper,1950000,1,1,1,54,,"            Modern, bright and new one bedroom in the recently finished apartment block, '82 on Harfield' in the heart of leafy Upper ...        "
MouillePoint,2500000,,1,1,47,,            Exclusive mandate. Situated on the side of a prominent building along the Promenade ...        
Fresnaye,14950000,6,4,3,,496,            Large home in sought after avenue with stunning Lions head views.Open plan living all ...        
Rondebosch,8500000,4,3,4,,900,"            Walk to Bishops, Micklefield, RBHS & Oakhurst Schools Ideal home if you  love to ...        "
SeaPoint,4850000,3,2,2,109,,"            With a birds-eye-view of the entire Seaboard, be one of the few to be guaranteed truly spectacular views forevermore.Offering three ...        "
CapeTownCityCentre,19500000,3,3.5,2,218,,"            A mansion in the sky. Seldom found in the centre of the city, a penthouse so distinguished by it's Manhattan feel. Seamless flow ...        "
SeaPoint,5800000,2,2,2,96,,"            Located on the cusp of Sea Point and Bantry Bay, TENONQ is a highly sought-after block. ...        "
CapeTownCityCentre,3000000,1,1,1,77,,            This gorgeous apartment is conveniently located on the historic Greenmarket Square in ...        
Pinelands,7400000,5,3,3,,1034,            Pinelands. New Release. Dual Instruction.In a prime position in the heart of Cape Town's green belt. Nestling peacefully and ...        
Lakeside,2695000,2,2,1,,596,            This one of a kind cottage style home is nestled in the secure community of Lakeside ...        
WalmerEstate,6990000,,,,,322,            Reduced to sell!!!3 Fully furnished apartments on ONE Erf.Newly renovated old ...        
CapeTownCityCentre,7500000,,,,200,,"            Double story building featuring two lofty showrooms in vibrant ""arty"" Church ...        "
ClaremontUpper,12995000,5,3.5,6,,880,            A large and versatile fully renovated double storey north-facing family home with ...        
CapeTownCityCentre,1295000,0.5,1,,42,,            MAGNIFICENT VIEWS IN SORT AFTER BUILDINGSpacious studio apartment in the popular St ...        
ConstantiaHeights,17950000,4,5,6,,1400,"            Situated in Sillery Private Estate , in an established area of the estate is this 4 ...        "
SaltRiver,1350000,1,1,1,67,,"            Investor Alert: Beautiful one bedroom apartment for sale in Salt River, Only R1 350 ...        "
MouillePoint,2600000,1,1,1,54,,            EXCLUSIVE SOLE MANDATE Well laid out and spacious 1 bedroom unit.  The bedroom has a ...        
Constantia,14990000,6,6,5,,1895,"            A modern 6 bedroomed home in superb condition.A multi generational home that lends itself to b&b, dual living and work from home ...        "
KenilworthUpper,15895000,4,3.5,8,,1667,            This entertainers' paradise is located in sought-after Kenilworth Upper in close proximity to all southern suburb schools.The ...        
Constantia,15995000,7,5,12,,3533,            Strictly view by appointment. Please contact the agent to secure your viewing.Step ...        
Maitland,650000,1,1,1,36,,            To take a VIRTUAL TOUR of this lovely apartment see below!This Ground Floor ...        
CapeTownCityCentre,1250000,,,,31,,            Great investment with good rental returns.Current monthly rental 9k per month. Secure. Street parking Bathroom in ...        
Gardens,5950000,5,5,,,185,            AirBnb and B&B opportunity in Gardens.A Victorian 5 bedroom villa with lots of atmosphere ideal for Airbnb and B&B situated ...        
Tokai,4995000,7,3.5,6,,856,            This wonderfully spacious property offers great versatility and space for everyone ...        
Zonnebloem,895000,1,1,1,33,,            1.Affordability.2.High Rental Demand.3.Location.33m2 Studio apartments selling ...        
Oranjezicht,9500000,5,2.5,2,,495,"            This large, traditional house occupies a corner plot in one of the City Bowl’s spots, a broad, sweeping road ideally placed for lots of ...        "
Waterfront,19700000,2,2,2,176,,"            Only a handful of these special Waterfront Marina apartments exist, a blend of contemporary design with ""in vogue"" decor.It ...        "
Tokai,3495000,4,3,,,465,            Open Hour this Thursday 24/09/2020 from 11-12. By appointment only!!! 2 people max per viewing so there will be limited times ...        
Philadelphia,6250000,3,4,12,,1600,            Only 40mins from Cape Town & 20 mins from Malmesbury lies Hunters Valley situated on ...        
SeaPoint,3495000,2,1,1,89,,            Immaculate light and bright 2 bedroom apartment in secure block.Both bedrooms are ...        
Oranjezicht,10300000,4,3,,,495,"            Beautiful family home in the sought after avenues in Oranjezicht. Superb central position. South entry, north facing and a stone's ...        "
SeaPoint,3250000,2,1,1,85,,"            ‘Thalassotherapy’ or sea therapy was prescribed by Hippocrates, the father of modern ...        "
Pinelands,4400000,5,4,6,,920,"            SOLE MANDATESolid, well-kept home in prime Pinelands position on a 920m² erf.  ...        "
Pinelands,4250000,5,3,6,,818,            This Stunning newly renovated family home boasts four nice sized bedrooms with built in ...        
Woodstock,1300000,1,1,1,43,,"            Investment dream, as well as a beautiful space to live! Amazing Mountain Views ...        "
MouillePoint,3349000,1,1,,69,,            Retirement Home for over 55 year old residents. This is one of the best available. ...        
CapeTownCityCentre,1400000,0.5,1,,43,,"            City studio in perfect location - and at a fantastic price!Tenanted, earning R7,000 ...        "
StJames,17500000,3,4,3,,1411,            This tastefully renovated home was built in the 1950's and has panoramic sea and mountain views throughout. The main house is a ...        
Woodstock,1250000,1,1,1,43,,"            Known for its diverse culture and rich artistic flair, the suburb of Woodstock has drawn ...        "
Mowbray,1700000,3,1,,,130,            Offering to buy into college-central and student friendly Mowbray!This three bedroom home has the potential to renovate out the added ...        
Tokai,5250000,3,2,,,1016,            Virtually On Show via FacebookContact the agent for the link.Immaculate move in ...        
SybrandPark,3500000,6,3,1,,625,            Ideal property for the extended family. Just close a door and you have two separate entrances with loads of parking.Excellent ...        
Oranjezicht,1450000,1,1,1,40,,"            Exclusive Mandate | Offers from R1,450,000Investors Pocket Rocket!Chic, modern and ...        "
Rondebosch,2395000,3,2,,112,,"            Great Investment OpportunityThis stunning and spacious 3 bedroom, 2 bathroom top floor apartment is situated in the heart of ...        "
KenilworthUpper,5900000,4,3,2,,991,"            This charming north facing family home is ideal to make your own, located in sought ...        "
Observatory,2050000,2,2,1,77,,"            Do not miss out on this fantastic 2-bedroom, 2-bathroom unit in Obs Court.This is the ...        "
Kenilworth,1995000,2,2,1,,106,            Sole MandateThis North facing duplex is ideal for those with a busy lifestyle.Open plan lounge/dining to well cupboarded kitchen ...        
Pinati,1650000,7,2,3,,412,"            This spacious 7-bedroom, 2-bathroom double-storey family home has a large tiled lounge with a fireplace leading to a neat a cosy ...        "
Woodstock,2995000,3,2,3,,271,"            Feel the hum of magic as you enter the stylish entrance hall, the easy flow into the ...        "
GreenPoint,4750000,2,1,2,125,,"            Exclusive Mandate. Overlooking the Waterfront, this magnificent and sophisticated ...        "
Pinelands,4795000,4,2.5,2,,920,"            New release. Joint mandate.This gorgeous family home, in an enviable position in Pinelands, will enchant the moment you enter.  ...        "
SeaPoint,4750000,2,2,1,104,,"            Rare opportunity in this sought after, secure block in the heart of Sea Point. Recently renovated this generously sized bright, sunny ...        "
CapeTownCityCentre,7500000,,,,262,,"            Located in the quirky and sought after Church Street node of the CBD, this iconic and ...        "
Maitland,980000,2,1,,75,,            Sole and exclusive mandate to PropertyFox: 2 Bed 1 bath apartment for sale in Maitland. ...        
Vredehoek,3995000,3,2,1,116,,            Exclusive Mandate | Large 3 Bedroom Family Apartment with Massive Storeroom The ...        
CapeTownCityCentre,6995000,,,,273,,"            *Sole Mandate*Currently Tenanted  - Premium Grade Office Space in the CBD* Price: R6,995,000 ex vat* Large Open Plan Office with ...        "
Fresnaye,5500000,3,2,2,155,,"            Located in Fresnaye close to all the shops, schools and restaurants . This spacious ground floor apartment is in a wonderful art deco ...        "
KalkBay,13500000,3,3,2,180,,            Located at the iconic and revitalised Majestic Hotel you will find this exquisitely curated and effortlessly beautiful penthouse ...        
CapeTownCityCentre,2400000,1,1,1,64,,"            Ideally positioned on the 10th floor is this rare treat in the city centre, with pricing ...        "
CapeTownCityCentre,2100000,2,1,,91,,            This sought-after Art Deco apartment is situated on Queen Victoria Street opposite the company Gardens.This unit was previously used ...        
Muizenberg,975000,2,1,,58,,            SOLE & EXCLUSIVE TO PROPERTYFOXAGENTThis neat two-bedroom apartment offers a ...        
DeWaterkant,2350000,1,1,1,54,,            WELL RENOVATED LIGHT & BRIGHT ONE BEDROOM UPPER LEVEL APARTMENT SITUATED IN SOUGHT ...        
Waterfront,16094250,2,2.5,2,154,,"            Selling price is R13, 995 000 + VAT. No Transfer duties payable.This apartment is well positioned on the incredible Waterfront Marina ...        "
BishopLavis,800000,3,1,1,,400,            Going on Auction: Wednesday 28 October 2020 at 12 NoonReserve Price: R850 000.00 mil (All offers will be reviewed)Expected Opening ...        
Tamboerskloof,2050000,1,1,,55,,"            Lovely ground floor apartment high up in Tamboerskloof. This 1 bedroom has much to offer.A spacious, sunny living area, with ...        "
GreenPoint,4450000,2,2,,,146,"            Magnificently positioned in a very unique part of Greenpoint. Its part of a group of 8 to 10 historical, terraced cottages. Its a ...        "
SeaPoint,1980000,0.5,1,,58,,"            Bright and Sunny, spacious, one bedroom apartment available in popular Sea Point. This ...        "
ClaremontUpper,1450000,,1,1,40,,"            Boutique bachelor apartment situated in one of the best positions in Upper Claremont at prestigious The Beaumont, mere minutes away ...        "
Rondebosch,2095000,1,1,1,46,,            Possibly one of the most beautifully decorated one bedroom apartments available at The Rondebosch.Situated in the most central ...        
Fresnaye,45000000,4,4.5,4,388,,"            R39,130,435 + vat. The advertised price includes VAT. No Transfer Duty applicable.8 Arcadia, a landmark building designed by renowned ...        "
MarinaDaGama,3995000,3,2.5,2,,448,"            Due to Covid-19 and lockdown Level 3 regulations, Greeff Christie's International Real Estate is now, upon request, able to offer a ...        "
Observatory,3885000,,,,260,,"            Fantastic business premises for sale in Observatory, Cape Town.Located on the busy lower main road, this used to be the home of a very ...        "
SeaPoint,1495000,,1,,38,,            3rd floor studio apartment in Kew Gardens. Open plan living and bedroom area with built ...        
RondeboschEast,3295000,3,2,2,,588,            Sole and exclusive mandate!  Be mesmerised by this home with hard wood flooring and high ceilings. This home positioned in the sought ...        
GreenPoint,4750000,2,2,,84,,"            Exclusive Joint Mandate :Views ! Views !  Location !  Finishes !This Blok development ""Seven on T""  Apartment, has ...        "
Gardens,1650000,2,1,,71,,"            Priced To SellAir BnB friendly, this apartment is the ideal investment and has been a ...        "
Philippi,1200000,8,8,,,183,            A Massive corner Multi Unit Investment Property on the market up for grabs in the ...        
SaltRiver,1550000,1,1,1,62,,            Come and see this fantastic designer apartment in the sought after Swift Studios. ...        
ThreeAnchorBay,2950000,2,1,1,100,,"            Exclusive Mandate – Corner unit high up on the 5th floor at a reputable block, this ...        "
Zonnebloem,1900000,2,1,2,,59,            Enjoy urban living at its best in the heart of the Cape Town CBD. The Six Building has ...        
SeaPoint,11995000,2,2,2,213,,            Joint exclusive mandate.Very rarely does a property so special come to the market at ...        
Woodstock,1595000,2,1,,80,,"            At Home in the City!This fresh and modern two-bedroom, one-bathroom ground floor ...        "
Clifton,29000000,3,2,3,263,,"            Live in one of the most desirable locations in the world, with sunshine, uninterrupted ...        "
ClaremontUpper,3395000,2,2,2,,117,            Unique: Secure apartment living with 45m2 balcony and stupendous mountain views.Superb ...        
CapeTownCityCentre,4600000,2,2,,85,,            The WOW factor fully furnished Penthouse Apartment in the Historic Centre of Town at The Piazza On Church is for sale. Situated in ...        
ClaremontUpper,3795000,2,1.5,2,100,,            SOLE & EXCLUSIVE TO PROPERTYFOX AGENTSpacious two-bedroom apartment in the ...        
Muizenberg,1565000,3,2,2,,261,            A secure family home well positioned on a larger than average plot in the popular ...        
Wynberg,1150000,2,1,,87,,            Move into a fresh looking spacious apartment with a balcony. Sit back and enjoy the ...        
Constantia,7995000,3,2.5,9,,1770,            A long gravel driveway leads to this single storey family home well positioned on the plot in the most perfect setting.The property ...        
GreenPoint,7995000,2,2.5,2,165,,"            This superb north east facing apartment boasts breath-taking views and offers a top quality, secure lifestyle.The newly completed ...        "
Woodstock,1649999,2,1,,,151,"            Looking to live in Woodstock? This two-bedroom, one-bathroom home is charming and neat as a pin!The sunny front patio offers ...        "
Rondebosch,2095000,2,1,1,84,,            Opportunity is endless inside this lovely 84m² apartment with stunning mountain ...        
Woodstock,1970000,2,1,,82,,"            This tastefully neat apartment with all mod cons, is waiting for the right owner to ...        "
CampsBay,13500000,3,3,,,1088,            Take this Camps Bay home to the next level! Here you have a versatile opportunity to renovate or extend by adding another floor ...        
Newlands,10700000,4,4,5,,1280,            An exceptional family home with elegant interiors.  Light and bright interleading reception rooms with easy flow to undercover patio / ...        
Claremont,4995000,1,2,10,,498,"            Price excludes VAT @ 15%. R4 995 00 plus VAT =R5 744 25075 Keurboom Road, Claremont - ...        "
DiepRiver,2250000,,,,150,,            Sectional Title complex - this is a double unit 6 and 7 selling as one offering a total ...        
ClaremontUpper,12750000,4,4.5,4,,927,            This elegant and immaculate family home is situated on a 927 m2 prime corner plot in the ...        
CapeTownCityCentre,2100000,1,1,1,40,,            Executive one bedroom apartment for sale in the luxurious 5 star Radisson Blu Hotel and Residence. Offering outstanding views with ...        
Heathfield,2395000,3,2,6,,595,            This is the ideal family home situated in Bergvliet South in a quiet cul-de-sac  in the ...        
Oranjezicht,23900000,5,5,4,,919,            Sprawling home set over two levels newly designed with high end finishes. With Table ...        
KalkBay,3995000,2,2,2,,275,"            Gorgeous, fully renovated and completely charming cottage situated in the heart of the ...        "
SeaPoint,4195000,2,2,1,92,,"            Beautiful light, bright and airy two bedroom apartment with sweeping views of the sea high up in sought after Sea Point.The modern ...        "
Kirstenhof,3200000,6,3.5,4,,700,            Family Home with Self Contained 2 bed Cottage!Main House:Tiled entrance hall with ...        
DeWaterkant,4700000,2,2,1,94,,            Invest in the coulourful de waterkant historical village with its unique and walkable ...        
SeaPoint,4550000,2,1.5,1,109,,            Step into this immaculate apartment in sought after security block and be greeted with streaming natural light. With 2 spacious ...        
Fresnaye,10995000,3,3,2,253,,"            This magnificent, centrally located penthouse has been designed by one of the top ...        "
Tokai,4150000,2,2,2,,496,"            Appealing and contemporary, where intrigue strikes a balance between the elegance of minimalism while establishing a beautiful and ...        "
Plumstead,1495000,2,1,1,71,,"            Exclusive Mandate | Located in a highly sought after suburb of Plumstead, this ...        "
Ottery,1875000,3,2,2,,473,            This is a house that you should view as it features all you need and has a flatlet that ...        
DeWaterkant,2950000,1,1,1,59,,            The unique old cape quarter development is located in the heart of the fascinating and ...        
SaltRiver,1595000,2,1,1,64,,            This stunning 2 bedroom and 1 bathroom trendy apartment in the heart of the very sought ...        
Ottery,954000,2,1,1,46,,            An exciting development situated in the well-established residential area of Ottery with easy access to major highways. This ...        
Ottery,3285000,,,,438,,"            Ottery Park is a sectional title industrial complex along Enslin Road,  Ottery, close to ...        "
Newlands,1995000,2,1,2,89,,            This well-planned family home is situated in a desirable location of Newlands. The home ...        
GreenPoint,3599000,2,1,2,84,,            TOP floor -the best and most beautiful apartment. It has to be seen.Large entrance to welcome you. It most DEFINITELY has that WOW ...        
Fresnaye,3995000,2,2,,125,,"            The living is easy in this generously proportioned  residence with views of Signal Hill, located just a short stroll away from the ...        "
Kenilworth,2549000,3,2,2,,248,"            Located across the road from the popular family friendly Purley Park sits this ideal starter home, downscale or investment opportunity ...        "
Observatory,2850000,2,2,1,78,,"            Brand new, North facing apartment located at the prestigious Madison Place.This ...        "
Vredehoek,3500000,3,3,2,,213,"            That magical character feel, mixed with contemporary fixtures and stylishly renovated in ...        "
LotusRiver,1495000,5,3,1,,607,"            Situated close to main amenities, this home in Montagu's Gift comprises of five bedrooms and three bathrooms.Inside, a spacious ...        "
Observatory,6000000,,,,643,,"            This mixed use development enjoys great owner occupier, investor and tenant success.The unit lends itself to several applications, the ...        "
Kenilworth,1150000,1,1,1,,,            Ground floor one bedroom apartment in Shady PineWalk into the sunny lounge with ...        
SeaPoint,8995000,2,2,1,140,,"            Elevated and overlooking the ocean, this corner beachfront apartment with dazzle and impress. All the finishes and fixtures were ...        "
