Location,Price,Bedrooms,Bathrooms,Parking,Floor Size,Erf Size,Description
Muizenberg,1265000,1,1,1,61,,
Observatory,1900000,2,2,1,65,,"            This ultra modern 2 bedroom apartment, situated in the well sought after and newly built Obs Court, is the perfect investment ...        "
Pinelands,3250000,3,2,3,,818,"            Pinelands. New Release. Exclusive Instruction.Excellent position for Pinehurst Primary School (Green School), La Gratitude ...        "
Foreshore,5000000,2,2,2,155,,"            Bidding start from R 5,000,000 via internet auction.An exemplar of modern ...        "
Langa,849000,4,2,2,,256,"            This home offers a well-equipped kitchen, lounge, 2 bedrooms and a family bathroom. The ...        "
SeaPoint,2350000,2,1,,78,,            CALLING SAVVY INVESTORSThis apartment presents a unique living opportunity to both sea ...        
BantryBay,7950000,3,3,2,144,,            Exclusive Mandate. This sophisticated and chic apartment offers luxurious living in the ...        
Westlake,1140000,,,,49,,            Westlake Square is a business complex with brilliant security and strong management near ...        
Oranjezicht,3150000,2,1,1,91,,"            Offering postcard views of Table Mountain from the lounge and scenic Lion's Head views from its open balcony, this spacious two ...        "
CapeTownCityCentre,2590000,0.5,1,1,43,,            New development - incl. VAT / NO TRANSFER DUTYExperience the energy of the Mother City ...        
CapeTownCityCentre,4600000,1,1,1,71,,            New development - incl. VAT / NO TRANSFER DUTYExperience the energy of the Mother City ...        
Kenilworth,2495000,3,1,1,,263,            This quaint 3 bedroom home is just teeming with potential and character.We walk through the front gate to find the front garden and ...        
Oranjezicht,2425000,1,1,1,67,,"            Spacious and airy one bedroomed apartment, bathed in sunlight and warmth. Large balcony ...        "
Tokai,7695000,3,2.5,6,,1001,"            This spectacular home, best suited for a more mature couple, is set in the much sought ...        "
Newlands,5950000,3,2.5,4,,231,"            This comfortable townhouse is within walking distance of Sacs and Westerford school, trendy shops and restaurants. Easy access to ...        "
CapeTownCityCentre,18800000,3,3,2,171,,            New development - incl. VAT / NO TRANSFER DUTYExperience the energy of the Mother City ...        
Woodstock,12900000,,,,460,,"            Exclusive mandate.This gorgeous, heritage building located on the corner of Victoria ...        "
Gardens,1800000,,,,84,,"            SOLE MANDATE: This modern, ground floor, open plan unit with a sleek and contemporary ...        "
CapeTownCityCentre,2495000,1,1,1,41,,            New development - incl. VAT / NO TRANSFER DUTYExperience the energy of the Mother City ...        
BantryBay,18995000,2,2,1,159,,            This sensational designer apartments boasts one of the finest positions along the ...        
Rondebosch,8700000,5,3,2,,936,            Quiet and secure cul de sacModern contemporary home - light and brightDual living or ...        
DeWaterkant,2850000,1,1,2,61,,            Joint Mandate - Loft unit at Victoria Junction boasting steam-punk styled contemporary ...        
GreenPoint,4795000,3,2,1,102,,            Exclusive Mandate. Unique opportunity to acquire this lovely versatile unit in a quaint ...        
WalmerEstate,3950000,3,3,1,,211,"            This spacious 2 dwelling corner home, ideally situated in Walmer Estate, offers old ...        "
Westlake,1590000,,,,88,,            Unique Ground Floor Office Unit in Westlake Business ParkThe unit is located in ...        
Wynberg,1100000,,,,110,,            Witkin is a mixed-use sectional title office and light industrial complex just off Main ...        
GreenPoint,11900000,5,6,4,,571,"            Enjoying a world-class setting, this beautifully renovated B&B presents the ...        "
CapeTownCityCentre,32000000,2,2,2,191,,            New development - incl. VAT / NO TRANSFER DUTYExperience the energy of the Mother City ...        
Retreat,2195000,3,2,2,,572,"            This well-loved, family home boasts a lounge with fire place, French doors leading to ...        "
Woodstock,1350000,1,1,1,58,,"            Known for its diverse culture and rich artistic flair, the suburb of Woodstock has drawn ...        "
Woodstock,2250000,2,1,1,75,,"            This stunning 64 sq.m. apartment is in a 24 hour secured complex, The Iron Works, which ...        "
Fresnaye,4295000,2,2,1,128,,"            Exclusive mandate. Situated in a small, well-built complex you will find this extremely ...        "
Constantia,13250000,5,3,4,,2000,            Firgrove Estate - Constantia Rural. Have peace of mind and enjoy living in this small - ...        
Woodstock,3850000,3,2,1,,367,"            Situated in Upper Woodstock, in sought after Roodebloem Road, is this lovely family ...        "
Llandudno,19800000,4,4,4,,991,            Charming and cosy family home with amazing ocean views in sought after Fisherman’s Bend ...        
SeaPoint,7950000,2,2.5,2,111,,            Open plan kitchen and double volume living areas lead to entertainment patio. 2 ...        
SeaPoint,4550000,2,1.5,1,104,,            Immaculate 2 bedroomed apartment in sought after security block with open plan living ...        
StJames,18500000,11,11,3,,938,"            9 luxurious, double, en suite bedrooms, for Family and Guests, some with fireplaces and ...        "
SteenbergGolfEstate,14995000,4,4,6,,747,            R14 995 000 excluding VAT ( No Transfer Duty Payable)Experience sophistication at its ...        
Foreshore,5400000,2,2,1,88,,"            ON SHOW this weekend, by appointment only   Exclusive Mandate. Sensational new release. ...        "
Ottery,5800000,10,10,8,,803,            The ten bedroom en suite double volume family home covers five hundred square meters on ...        
DiepRiver,1600000,2,1,1,85,,"            This 2 bed 1 bath apartment is conveniently located just off the Main Road, Diep River. ...        "
ClaremontUpper,2800000,2,2,2,86,,            SOLE & EXCLUSIVE TO PROPERTYFOX AGENT : This 2 bedroom apartment is situated in the ...        
SeaPoint,1995000,1,1,1,72,,"            Spacious one bedroom, one bathroom apartment with open balcony leading off both the ...        "
Clifton,55000000,5,4.5,4,355,,"            This sensational, renovated and fully furnished apartment is the epitome of style and ...        "
Vredehoek,2750000,2,2,2,81,,            Exclusive Mandate | Uninterrupted Views and Expansive Living!Designed with an endless ...        
GreenPoint,3250000,3,2,1,107,,            Exclusive Mandate – Stadium and Harbour Views come with this charming and quaint unit ...        
CapeTownCityCentre,2995000,2,2,2,90,,"            Situated in the Harrington Street district, surrounded by modern coffee shops ...        "
Constantia,8900000,3,2,7,,2670,"            Set on over half-an-acre with elevated mountain views, this neat and sunny north-facing ...        "
Tokai,4950000,4,4,4,,1085,"            This very special home set in a quiet cul de sac and is classical in look, has a great ...        "
Philippi,19675000,,,,,20.75,            In the heart of the vegetable producing area. Rare find 4 Erven next to each other. ...        
CapeTownCityCentre,9500000,2,2.5,2,229,,            Part of the Onyx Penthouse Collection designed by architects Robert Silke & ...        
Muizenberg,1250000,3,2,2,79,,            This 2nd floor modern 3-bedroom apartment home is situated on a beautiful and one of the ...        
GreenPoint,4750000,2,2,1,84,,            See video for full walk through.As you walk into this apartment you are struck by the ...        
CapeTownCityCentre,2495000,2,2,1,114,,            Situated a stones-throw from the vibrant nightlife of Long Street and the eclectic ...        
SilvertreeEstate,10495000,5,4,4,,603,            Spacious family home with superb Mountain and scenic views available for rent in Silvertree Estate. The house boasts 3 spacious ...        
SeaPoint,3300000,2,1.5,,101,,            Stunning two bedroom Sea Point Promenade apartment.This beautiful apartment is ...        
GreenPoint,14995000,5,4,2,,314,"            With views to die for and a substantial income from the apartment that is rented out on Airbnb, one could not ask for much more. The ...        "
WynbergUpper,5550000,4,4,2,,918,            Charming family home in excellent position.This charming and character filled family ...        
CampsBay,9950000,3,3.5,2,301,,"            Rare opportunity to own a large one level apartment, two minutes from Bakoven beach and ...        "
Rosebank,1850000,3,1.5,2,97,,            Shannon Mews is a well-managed and secure block perfectly positioned in the heart of ...        
CapeTownCityCentre,2290000,1,1.5,1,106,,"            Situated near the up an coming new developments of Foreshore, zoned for mixed use and ...        "
Oranjezicht,2995000,3,1,1,104,,            Exclusive Mandate | Spacious Living With Sweeping Mountain Views!Welcome home to ...        
SeaPoint,3299000,1,1,1,71,,            Elevated slice of  Sea Point heaven with world class views expanding Lions Head to ...        
Tamboerskloof,3650000,2,1,1,88,,"            Located in the leafy, quiet suburb of Tamboerskloof, close to all that Cape Town has to ...        "
Waterfront,19995000,2,2,2,159,,            Asking price R17 387 000 plus Vat. Fully renovated contemporary apartment situated on ...        
SeaPoint,4295000,2,1.5,2,101,,            Brand new listing in highly sought after block located between Beach and Main Road in ...        
Kirstenhof,2600000,3,2,3,,840,            This sole and exclusive mandated property is located in a peaceful pocket of Kirstenhof ...        
Oranjezicht,2100000,1,1,1,54,,"            With a beautiful view of Table Mountain and Devils Peak, this spacious 1 bedroom flat is ...        "
Vredehoek,2595000,2,2,2,73,,"            NEAT, MODERN AND OPEN-PLAN LIVINGNot many units become available in this development ...        "
SaltRiver,1700000,1,1,,68,,"            Beautiful one bedroom apartment for sale in Salt River, for Only R1 700 000.Located in ...        "
Constantia,11950000,5,4.5,2,,2743,            Nestled on a level 2743m² in the sought-after Avenues of Upper Constantia. Interior ...        
Meadowridge,3250000,3,2,4,,701,            This magnificently kept home is located in a sought after pocket of Meadowridge. light ...        
Fresnaye,5495000,2,2,1,2203,,"            Located in one of Sea Points most sought after blocks, this apartment is beautifully ...        "
SeaPoint,10990000,3,2,1,226,,"            Opportunities to purchase in this sought after complex, don't come around  often. ...        "
DeWaterkant,3650000,2,2,4,100,,            A two bedroom apartment with 4 parking bays + storeroomModern 2 bedroom + 2 bathroom ...        
Newlands,4850000,4,2,2,,894,            EXCLUSIVE MANDATEThis is your opportunity to get into Fernwood. This comfortable ...        
CampsBay,65000000,8,8.5,4,,1034,"            Architectural marvel, perfectly positioned against the backdrop of Table Mountain Nature Reserve and the majestic Twelve Apostles ...        "
SeaPoint,7950000,4,3.5,,,267,"            Price includes VAT. No transfer duty applicable.The price equals R6,91m ex ...        "
Kirstenhof,2095000,3,1,2,87,,            On show this Sunday from 3pm-5pm.                                          Boards from ...        
Muizenberg,1730000,1,1,1,62,,"            Beach flat with garden terrace.Situated in the popular Melrose Village complex, is ...        "
SeaPoint,2195000,1,1,,50,,            A beautiful large studio apartment on the beachfront in the coolest part of the Atlantic ...        
Muizenberg,850000,2,1,1,45,,"            Light, airy and within walking distance from the beach, this low maintenance 2-bedroom ...        "
Oranjezicht,2350000,2,1,,70,,            Sole mandate Here are a few reasons why this is a lovely apartment to purchasers.- ...        
Clifton,8500000,1,1,,59,,"            Situated on one of the most exclusive beaches in Clifton, on the sea side of the road ...        "
Oranjezicht,3400000,3,2,1,138,,"            If you like interesting and different, then this one is for you!  One of 6 Apartments ...        "
Constantia,19900000,5,5.5,7,,1437,"            This pristine designer 5 bedroom family home has customised finishes, high ceilings and ...        "
Constantia,32000000,4,5,3,,1375,"            A completely understated, executive home of traditional distinction, whilst affording ...        "
Woodstock,1950000,2,2,2,82,,"            A penthouse at under R2m!Situated in Upper Woodstock, on the top floor, overlooking ...        "
SeaPoint,8950000,3,2,2,166,,            Rarely does an apartment like this come onto the market. Triplex unit offering amazing ...        
Claremont,5450000,3,2,2,145,,"            Views forever, the mountains are the backdrop, dream, live, work, exercise, entertain ...        "
Gardens,2695000,2,2,1,89,,            New to the market this well looked after North East facing 2 bedroom 2 bathroom ...        
GreenPoint,4895000,2,1,1,89,,"            The block is a fusion of classical Cape architecture and modern Cape Town style, with ...        "
CapeTownCityCentre,1400000,1,1,1,53,,"            ULTIMATE INVESTMENT OR BUY TO LIVE OPPORTUNITYThis spacious, north-west facing corner ...        "
