location,price,floor_size,bathrooms,bedrooms,parking
De Waterkant,3000000,54,1,1,1
Sea Point,12495000,133,3,3,2
Sea Point,3250000,86,1,2,None
Camps Bay,4950000,74,1,1,2
De Waterkant,3795000,87,1,2,1
Philadelphia,2695100,382,2,3,3
Three Anchor Bay,4900000,100,2,2,2
Cape Town City Centre,1950000,43,1,1,1
Mouille Point,4900000,93,1,2,1
Rondebosch,1500000,47,1,1,1
Oranjezicht,3795000,58,1,2,1
Cape Town City Centre,1700000,49,1,1,1
Zonnebloem,1445000,61,1,2,1
Sea Point,5900000,90,2,2,2
Kenilworth,1500000,80,1,3,2
Tamboerskloof,9250000,433,2,3,2
Camps Bay,20000000,490,4,4,2
Pelican Park,1450000,331,2,4,4
Cape Town City Centre,3795000,71,1,1,2
Thornton,700000,42,1,1,1
Green Point,3200000,116,2,2,1
Cape Town City Centre,2295000,65,1,1,None
Wynberg Upper,3800000,292,2,2,2
Cape Town City Centre,2395000,82,1,1,1
Sea Point,2250000,60,1,1,1
Sea Point,3400000,60,1,1,None
Constantia,10900000,2 324,4,4,3
Rondebosch Village,1495000,75,1,1,1
Nieuwe Steenberg,7995000,287,3,3,1
Salt River,1650000,137,1,2,1
Claremont Upper,2495000,94,2,2,1
Ottery,2400000,510,2,4,1
Green Point,8950000,165,2,2,2
Cape Town City Centre,1895000,36,1,1,None
Zonnebloem,1850000,None,1,2,1
Kalk Bay,7400000,210,2,2,2
Pelican Park,1590000,472,1,6,7
Claremont Upper,2850000,73,2,2,1
Clifton,42000000,300,3.5,3,1
Sea Point,3750000,None,2,2,1
Sea Point,1650000,47,1,1,None
Newfields,1500000,372,2,4,1
Cape Town City Centre,7500000,173,3,3,2
Claremont Upper,14995000,649,4,4,6
Cape Town City Centre,2590000,48,1,1,1
Cape Town City Centre,1995000,49,1,1,1
Sea Point,6250000,83,2,2,2
Green Point,5990000,101,2,2,2
Schaap Kraal,19999000,39 423,7,9,1
Observatory,1700000,44,1,1,None
Green Point,3350000,60,1,2,1
Cape Town City Centre,1950000,52,1,1,1
Wetton,1300000,156,1,2,1
Maitland,545000,33,1,1,1
Kalk Bay,3995000,275,2,2,2
Lansdowne,3200000,934,None,None,None
Kenilworth,1695000,58,1,2,1
Cape Town City Centre,8500000,225,2,2,2
Kenilworth,2775000,139,2.5,3,3
Gardens,4850000,252,4.5,4,2
Wynberg,895000,None,None,None,None
De Waterkant,2850000,61,1,1,2
Claremont Upper,2800000,86,2,2,2
Camps Bay,9950000,301,3.5,3,2
Muizenberg,1730000,62,1,1,1
Newlands,5200000,495,2,3,2
Kenilworth,2750000,242,1,2,1
Rondebosch,1295000,41,1,None,None
Woodstock,2495000,187,2,3,None
Newlands,9900000,1 004,3,4,6
Mountview,2400000,421,3,3,4
Camps Bay,12500000,433,3.5,3,2
Observatory,3450000,214,3,3,2
Kensington,2795000,490,2,4,2
Cape Town City Centre,2250000,40,1,1,1
Ottery,2700000,595,3,4,4
Claremont Upper,2600000,93,2,2,1
Claremont,4500000,571,2,4,4
Bantry Bay,18990000,150,2,2,1
Sea Point,2800000,70,1,2,1
Woodstock,1940000,65,1,1,1
Waterfront,19995000,159,2,2,2
Muizenberg,1270000,196,1,2,2
Camps Bay,13750000,240,3.5,4,4
Claremont Upper,2800000,96,3,2,1
Oranjezicht,1695000,61,1,1,1
Woodstock,1295000,59,1,1,1
Wetton,2295000,447,2,3,3
Kenilworth,2195000,144,None,3,3
Observatory,1795000,64,1,2,1
Fresnaye,10500000,496,2,3,3
Claremont Upper,8500000,1 011,4,5,3
Retreat,2095000,200,2,3,3
Waterfront,19700000,176,2,2,2
Tokai,5250000,1 016,2,3,None
Zonnebloem,1900000,59,1,2,2
Woodstock,1970000,82,1,2,None
Fresnaye,10995000,253,3,3,2
Salt River,3995000,196,2,6,1
Sea Point,5900000,124,2,2,2
Cape Town City Centre,1700000,43,1,1,1
De Waterkant,4995000,118,2,2,2
Wynberg Upper,1150000,53,1,1,1
Bantry Bay,3325000,96,1,1,1
Kenilworth,2475000,67,2,2,None
Newlands,5795000,195,2.5,3,2
Green Point,2850000,100,2,2,1
Sea Point,1595000,33,1,0.5,1
Constantia,10500000,1 463,4,4,2
Southfield,1395000,202,2,3,1
Kirstenhof,1800000,68,1,2,2
Diep River,2500000,500,3,4,2
Woodstock,1245000,65,1,2,1
Sea Point,1350000,46,1,0.5,1
Oranjezicht,12500000,546,4,4,2
Salt River,1285000,58,1,1,1
Ottery,1350000,70,2,3,2
Bantry Bay,12000000,143,2,2,1
Bakoven,26995000,833,9,8,2
Wynberg Upper,2995000,280,2,3,2
Kenilworth,1499000,80,1,2,1
Constantia,3350000,306,2,3,3
Rondebosch,4300000,372,4,6,4
Cape Town City Centre,2750000,None,2,2,1
Cape Town City Centre,1199000,37,1,0.5,1
Ottery,1695000,237,1.5,3,2
Southfield,795000,67,1,1,1
Green Point,1395000,36,1,None,1
Pelican Park,695000,150,1,2,6
Vredehoek,2395000,79,2,2,1
Green Point,2250000,75,1,1,2
Observatory,3395000,184,2.5,4,4
Wynberg Upper,3599000,182,3.5,3,1
Harfield Village,2599000,202,1,3,1
Woodstock,2450000,107,1,2,None
Cape Town City Centre,2999000,73,2,2,2
Observatory,2495000,285,2,4,2
Observatory,1890000,117,2,3,None
Tokai,5995000,230,3.5,3,2
Green Point,3250000,67,1,1,1
Cape Town City Centre,3700000,86,2,2,1
Bishopscourt Village,21000000,4 254,15,12,3
Pinelands,1850000,None,None,None,None
Camps Bay,11500000,511,3.5,4,3
Gardens,1250000,40,1,0.5,None
Sea Point,3995000,104,2,2,1
Bantry Bay,11995000,388,3,4,2
Kirstenhof,4150000,720,3,4,3
Constantia,5900000,1 663,4,5,3
Fresnaye,20500000,828,5,4,5
Plumstead,1850000,296,1,3,2
Maitland,1350000,231,2,3,None
Cape Town City Centre,3400000,102,2,2,2
Bo Kaap,2590000,110,1,3,None
Kirstenhof,2185000,236,1,2,2
Constantia,13995000,1 627,4,4,6
Ottery,1245000,63,1,2,2
Fresnaye,8400000,108,2.5,2,2
Waterfront,26000000,277,3,3,2
Ferness Estate,2700000,595,3,4,4
Kenilworth,1200000,57,1,1,None
De Waterkant,6550000,131,2,2,1
Bergvliet,2500000,831,1,3,3
Sea Point,22500000,488,4.5,4,2
De Waterkant,2250000,38,1,1,1
Wynberg Upper,1625000,85,1,2,1
Sea Point,1595000,33,1,0.5,None
Bonteheuwel,549000,108,1,3,2
Claremont Upper,6500000,612,2.5,3,2
Newlands,5385000,450,3,4,2
Fresnaye,3250000,51,1,1,1
Observatory,1320000,31,None,None,None
Foreshore,2650000,55,1,1,1
Ottery,1100000,None,1,2,3
Clifton,,None,None,None,None
Sea Point,1445000,38,1,0.5,None
Green Point,2795000,None,2,2,1
Harfield Village,2795000,396,2.5,3,None
Gardens,3495000,90,2,2,2
De Waterkant,6990000,136,2,2,None
De Waterkant,2250000,61,1,1,1
Muizenberg,1350000,88,2,3,1
Claremont Upper,6299000,274,2.5,3,2
Marina Da Gama,2350000,160,2,3,3
Gardens,3200000,82,1.5,2,1
Foreshore,9495000,210,2,3,2
Cape Town City Centre,2950000,72,2,1,1
Newlands,7500000,199,3.5,3,2
Sea Point,3950000,76,2,2,1
Belhar,2400000,750,3,5,1
Camps Bay,14950000,None,2.5,4,2
Camps Bay,21995000,819,4.5,4,3
Green Point,4950000,118,2,2,1
Kenilworth Upper,1299000,56,1,1,1
Sea Point,1595000,37,1,0.5,None
Plumstead,4650000,1 100,3,6,12
Kenilworth,1550000,79,1,2,2
Newlands,6100000,None,2,3,2
Vredehoek,4000000,117,2,2,2
Sea Point,12500000,298,2,2,2
Cape Town City Centre,1750000,58,1,1,1
Lansdowne,1270000,53,1,2,1
Claremont,3900000,494,2,4,4
Lavender Hill,550000,336,1,3,5
Pinelands,5999000,872,6,7,4
Cape Town City Centre,1250000,52,1,1,None
Zonnebloem,1295000,None,1,1,1
Plumstead,950000,54,1,1,1
Plumstead,1995000,92,1,2,1
Rondebosch East,1950000,185,1,2,4
Newlands,8500000,595,2,4,3
Maitland,1950000,412,1,3,1
Foreshore,12250000,349,3.5,3,2
Muizenberg,1265000,61,1,1,1
Green Point,4100000,93,2,2,1
Mouille Point,3450000,74,2,2,1
Newlands,7600000,880,4,4,5
Mouille Point,29000000,449,4.5,4,2
Heathfield,1290000,85,1,2,2
Diep River,1095000,52,1,1,1
Wynberg Upper,3500000,446,2,3,2
Foreshore,3700000,102,2,2,2
Cape Town City Centre,1595000,43,1,1,None
Cape Town City Centre,1499000,49,1,1,1
Green Point,2900000,None,1,1,2
De Waterkant,2450000,76,1,1,None
Claremont Upper,7000000,184,3.5,3,2
Pinelands,3250000,818,1,3,7
Observatory,850000,31,1,0.5,1
Gardens,1590000,42,1,None,None
Woodstock,3650000,318,2,4,3
Zonnebloem,1850000,45,1,1,None
De Waterkant,3200000,117,2,2,2
Zonnebloem,2180000,61,1.5,2,1
Cape Town City Centre,1830000,61,1,1,1
Newlands,5950000,773,3.5,4,4
Sea Point,4650000,146,2,3,1
Surrey Estate,1800000,None,2,5,6
Woodstock,2350000,None,2,6,None
Woodstock,1590000,41,1,0.5,1
Claremont Upper,2449000,86,2,2,2
Woodstock,1899999,67,1,2,2
Green Point,1950000,41,1,0.5,None
Rondebosch,1950000,None,1,2,1
Bakoven,35000000,1 082,5,7,4
Claremont,4795000,325,2,3,4
Sea Point,3499000,71,2,2,1
Muizenberg,1350000,149,1,2,2
Newlands,3800000,108,2,3,1
Cape Town City Centre,2350000,40,1,1,1
De Waterkant,23800000,394,8,2,9
Claremont Upper,2675000,86,2,2,1
Sea Point,7500000,290,2.5,4,3
Camps Bay,34500000,460,4,4,4
Rondebosch,1995000,66,2,2,None
Vredehoek,1295000,65,1,2,None
Fresnaye,29995000,633,5,5,5
Green Point,2550000,44,1,0.5,1
Cape Town City Centre,3499000,119,2,2,1
Zonnebloem,999000,32,1,0.5,1
Ottery,2390000,400,3,4,5
Camps Bay,4850000,84,1.5,2,None
Woodstock,1295000,60,1,1,1
Claremont,4500000,496,2,3,1
Camps Bay,8500000,None,3.5,4,1
Muizenberg,6900000,185,3,3,1
Sea Point,4995000,111,2.5,2,1
Kenilworth,1599000,61,2,2,2
Green Point,2195000,68,1,1,None
De Waterkant,6000000,105,1,2,2
Claremont,2750000,445,3,5,3
Ottery,695000,47,1,2,None
Woodstock,3400000,143,2,3,None
Crawford,5500000,991,8,10,4
Cape Town City Centre,1495000,41,1,0.5,1
Foreshore,2800000,55,1,1,1
Mouille Point,5500000,110,2,3,1
Green Point,4100000,87,1,2,1
Tokai,1975000,None,2,2,1
Camps Bay,25980000,310,3,3,2
Lavender Hill,547999,160,1,3,2
Claremont Upper,6950000,472,4,4,6
Gardens,1750000,57,1,1,1
Fresnaye,8500000,519,5,5,5
Bishopscourt,25000000,3 965,6,6,10
Cape Town City Centre,1350000,45,1,1,1
Gardens,2900000,100,2,2,2
Plumstead,6500000,1 345,6.5,6,6
Woodstock,6950000,237,1.5,1,2
Kenilworth,1895000,68,1,2,1
Muizenberg,1150000,62,1,2,2
Clifton,16995000,263,3.5,4,None
Cape Town City Centre,2395000,62,1,1,1
Sea Point,3500000,53,1,1,1
Wynberg,2490000,209,None,None,None
Cape Town City Centre,2550000,93,1,1,1
Mouille Point,2495000,47,1,0.5,1
Ottery,2450000,400,3,4,5
Camps Bay,8950000,552,3,4,1
Fresnaye,5800000,132,2,2,1
Three Anchor Bay,2950000,63,1,1,1
Kalk Bay,3500000,72,1,1,None
Three Anchor Bay,2100000,52,1,0.5,None
Cape Town City Centre,1575000,53,1,1,None
Thornton,2295000,658,3,4,4
Sea Point,4995000,83,1,2,1
Bantry Bay,68000000,1 566,7,10,6
Sea Point,3950000,75,1.5,1,1
Green Point,7500000,252,3,3,2
Green Point,2745000,69,1,2,1
Woodstock,1295000,61,1,2,1
Green Point,4700000,89,1,2,1
Cape Town City Centre,1795000,62,1,1,1
Kenilworth,1700000,79,1,2,1
Constantia,11750000,1 351,3.5,4,2
Cape Town City Centre,2295000,57,1,1,1
Gardens,4200000,93,2,2,2
De Waterkant,4750000,110,2,2,1
Cape Town City Centre,2995000,95,2,2,1
Plumstead,2195000,495,1,2,3
Cape Town City Centre,1595000,60,2,2,1
Green Point,6500000,258,2,3,None
Fresnaye,3500000,51,1,1,1
Camps Bay,28500000,1 605,3,4,6
Llandudno,12000000,571,2,3,2
Llandudno,44000000,991,5,5,4
Sea Point,9000000,152,2,3,2
Gardens,3650000,86,1,2,None
Cape Town City Centre,5100000,96,1,1,1
Gardens,4500000,124,2,2,1
Observatory,1950000,64,1,2,2
Oranjezicht,1750000,43,1,None,1
Wynberg,650000,None,1,2,1
Camps Bay,3750000,64,1,1,2
Bantry Bay,35000000,948,4.5,4,2
Sea Point,11500000,335,6,6,None
Sea Point,1850000,55,1,1,None
Observatory,1640000,57,2,2,1
Wynberg,3500000,591,2,4,None
Bo Kaap,2650000,121,1.5,3,None
Sea Point,6899000,107,1,2,1
Oranjezicht,8900000,389,3,4,None
Oranjezicht,6995000,561,5,4,1
Bergvliet,3750000,426,2,3,4
Sea Point,4284000,61,1,1,1
Gardens,3800000,68,1,1,1
Sea Point,8250000,139,2,3,2
Sea Point,5900000,96,2,2,2
Sea Point,6450000,148,2,3,1
De Waterkant,,220,2,2,2
Llandudno,36000000,1 502,4,4,2
Claremont,1850000,77,1,2,1
Wynberg Upper,4950000,411,2.5,4,4
Sea Point,2999999,109,1.5,2,None
Green Point,4995000,100,2,2,1
Green Point,3495000,82,2,2,2
Claremont Upper,950000,36,1,1,1
Gardens,1695000,42,1,0.5,1
Green Point,10750000,1 023,2,4,1
Claremont,1120000,52,1,2,1
Observatory,2250000,184,1,2,1
Muizenberg,1480000,207,2,3,1
Constantia,12995000,650,4,4,2
Rondebosch,3495000,160,2.5,3,2
Constantia,10500000,4 103,3,4,2
Diep River,1095000,52,1,1,1
Constantia,7995000,1 769,3,5,5
Oranjezicht,7495000,123,2,2,2
Tokai,1294000,47,1,1,1
Sea Point,4295000,99,1,3,1
Diep River,1194999,64,1,2,None
Cape Town City Centre,2199000,49,1,1,1
Mowbray,1995000,71,1,2,2
Kenilworth,1545000,86,1,2,2
Kenilworth Upper,2239000,66,2,2,1
Rondebosch,3150000,228,2,2,None
Sea Point,11950000,268,3.5,4,2
Claremont Upper,3499999,132,1.5,3,1
Newlands,6350000,430,3,4,2
Rondebosch,2499000,96,1,2,2
Claremont Upper,3000000,65,2,1,1
Sea Point,3300000,88,2,2,1
Zonnebloem,2400000,60,1.5,2,1
Claremont Upper,1950000,74,2,2,1
Woodstock,1395000,53,1,1,None
Stonehurst Mountain Estate,13999000,1 427,4,4,6
Fresnaye,1800000,51,1,None,None
De Waterkant,15500000,135,2,2,1
Green Point,2900000,72,1,1,None
Muizenberg,1395000,255,1,3,1
Cape Town City Centre,9200000,237,2,2,None
Bergvliet,3850000,484,2,3,2
Mouille Point,5300000,87,2,2,2
Woodstock,1560000,65,1,2,None
Tamboerskloof,2375000,90,1.5,2,None
Rondebosch,1600000,45,1,1,1
Capricorn,1350000,215,1,2,2
Maitland,1100000,185,2,3,None
Plumstead,1149000,80,1,2,1
Sea Point,1995000,58,1,1,None
Newlands,6950000,898,3,3,5
Sea Point,3250000,86,1,2,None
Observatory,2895000,234,1,2.5,2
De Waterkant,12000000,137,3,3,None
Cape Town City Centre,5850000,88,2,2,2
Zonnebloem,1850000,63,1,2,1
Sea Point,4299000,133,2.5,2,1
Pinelands,1380000,60,1,2,1
Rondebosch,1500000,47,1,1,1
Mouille Point,2695000,33,1,None,1
Gardens,2340000,86,1.5,2,1
De Waterkant,6995000,112,2,2,None
Green Point,3995000,95,2,2,1
Vredehoek,4990000,521,2,3,1
Gardens,2850000,74,None,None,None
Camps Bay,17300000,595,3,4,2
Cape Town City Centre,1895000,38,1,1,1
Zwaanswyk,15900000,4 442,5,5,3
Camps Bay,21995000,235,3,3,2
Kalk Bay,3450000,176,2,2,1
De Waterkant,7999000,142,2.5,2,2
Pinati,2000000,629,1.5,3,2
Cape Town City Centre,4490000,80,2,2,2
Rosebank,1700000,None,1,2,1
Cape Town City Centre,10000000,137,3,4,1
Newlands,6200000,873,5,4,3
Camps Bay,19000000,557,4,4,4
Camps Bay,14500000,652,7,6,2
Bergvliet,1430000,102,2,2,1
Plumstead,3495000,487,4,6,3
Observatory,1995000,58,2,1,1
Cape Town City Centre,4000000,87,2,2,2
Cape Town City Centre,11750000,354,3,3,2
Ottery,2295000,466,2,3,4
Diep River,1678192,42,1,1,1
Woodstock,2995000,126,2,3,None
Observatory,2395000,172,2,2,None
Oranjezicht,2200000,68,1,1,1
Zonnebloem,2130000,54,1.5,2,1
Kenilworth,1725000,58,1,2,1
Sea Point,4495000,88,1,2,2
Bishopscourt,29000000,3 664,8,8,12
Guguletu,,221,1,4,None
Green Point,4995000,126,2,2,2
Rondebosch,995000,27,1,0.5,1
Muizenberg,860000,45,1,2,1
Kenilworth Upper,7900000,1 103,2,4,2
Green Point,3760000,60,1,1,1
Cape Town City Centre,1554000,32,1,None,None
Grassy Park,1450000,None,2,3,1
Valhalla Park,399999,None,1,2,2
Zonnebloem,2200000,59,1,2,1
Green Point,2850000,59,1,1,1
De Waterkant,3490000,65,1,None,1
Bishopscourt Village,7300000,226,3.5,3,2
Constantia,28650000,1 827,4,4,2
Constantia,5995000,1 487,3,3,3
Sea Point,4950000,281,2,2,1
Rondebosch,5900000,93,2,2,2
Green Point,4795000,102,2,3,1
Sea Point,7950000,111,2.5,2,2
Rosebank,1850000,97,1.5,3,2
Sea Point,4295000,101,1.5,2,1
Oranjezicht,3400000,138,2,3,1
Bergvliet,3650000,833,3,4,4
Sea Point,1690000,60,1,1,None
Vredehoek,3350000,78,2,2,2
Wynberg,1350000,32,1,1,1
Kenilworth Upper,9450000,2 379,3,6,2
Claremont Upper,5950000,430,2.5,3,2
Stonehurst Mountain Estate,14995000,1 654,5,5,6
Kreupelbosch,5600000,1 120,2,4,3
Waterfront,7992500,102,2.5,2,None
Constantia,19900000,1 437,5.5,5,6
Cape Town City Centre,1695000,59,1,None,2
Claremont,2195000,144,2,3,1
Gardens,1500000,24,1,0.5,1
Tamboerskloof,1699000,47,1,0.5,1
Rondebosch,2400000,77,2,2,2
Waterfront,21850000,254,3,3,2
Kenwyn,2850000,617,3,4,4
Woodstock,2450000,117,2,1,3
Sea Point,2995000,90,2,2,1
Gardens,1795000,49,1,1,1
Waterfront,,341,3,3,3
Higgovale,8000000,206,3,2,1
Kenilworth,3300000,496,2,4,4
Gardens,2950000,155,3,3,None
Observatory,1380000,37,1,1,1
Constantia,12900000,2 613,3,4,2
De Waterkant,5200000,79,1.5,2,None
Pinelands,4250000,818,3,5,6
De Waterkant,2350000,54,1,1,1
Green Point,4750000,84,2,2,None
Woodstock,1649999,151,1,2,None
Tokai,4150000,496,2,2,2
Meadowridge,3950000,703,3,3,2
Oranjezicht,8900000,631,3,4,2
Harfield Village,2695000,314,3,3,1
Green Point,15550000,292,4,4,4
Wynberg,1200000,82,1,2,1
Sea Point,3800000,95,2,2,1
Rosebank,1695000,68,1,2,2
Fresnaye,14750000,304,4,4,3
Mouille Point,4025000,81,2,2,None
Gardens,2395000,61,1,2,2
Waterfront,13950000,125,2.5,2,2
Muizenberg,1100000,62,1,2,None
Claremont,1290000,75,1,2,1
Kenilworth,1895000,68,2,2,1
Vredehoek,2495000,60,1,2,2
Constantia,12250000,2 478,3,5,None
Diep River,1795000,245,2,2,1
Retreat,1550000,535,1.5,3,3
Vredehoek,6900000,633,2,4,4
Rondebosch,4250000,695,3,4,4
Woodstock,1495000,67,1,2,None
Gardens,1820000,54,1,1,1
Cape Town City Centre,1890000,40,1,0.5,1
Lakeside,1195000,43,1,1,2
Observatory,2595000,209,1,2,2
Ottery,1950000,480,1.5,3,5
Observatory,1885000,65,2,2,1
Waterfront,14995000,131,2,2,2
Vredehoek,3995000,229,1,3,2
Observatory,1875000,43,1,1,1
Constantia,10700000,1 351,5.5,5,2
Zonnebloem,1695000,63,1,2,2
Sea Point,2950000,100,1,2,None
Woodstock,1095000,28,1,None,None
Sea Point,3200000,78,1,2,None
Bergvliet,4395000,1 020,2,3,5
Sea Point,5590000,102,1.5,2,1
De Waterkant,3999995,100,2,2,2
Sea Point,9995000,138,2,3,None
Bantry Bay,19995000,141,2.5,2,4
Kirstenhof,2195000,287,2,3,4
Muizenberg,1200000,200,2,3,1
Pinelands,4250000,898,2,4,4
Sea Point,4995000,250,2,4,None
Newlands,3250000,95,2,2,2
Observatory,1435000,41,1,0.5,2
Claremont Upper,1895000,71,1,2,2
Gardens,1895000,64,1,1,2
De Waterkant,3500000,None,2,2,1
Rylands,895000,52,1,2,1
Fresnaye,16750000,481,4.5,5,2
Wynberg,1180000,None,1,2,1
Mowbray,3295000,381,2,3,3
Pelican Park,1250000,248,2,3,4
Oranjezicht,2150000,66,1,1.5,None
Gardens,3499000,145,2,2,2
De Waterkant,2700000,66,1,1,None
Sea Point,11900000,370,4.5,4,2
Adriaanse,970000,991,1,4,3
Kenilworth,1495000,87,1,2,1
Cape Town City Centre,2595000,89,2,2,1
Plumstead,2695000,615,2,3,5
Bantry Bay,19900000,211,3,3,2
Camps Bay,19900000,1 427,3,4,6
Sea Point,11995000,254,3.5,3,2
Wynberg Upper,1690000,102,1,3,1
Wynberg Upper,2200000,123,2,3,2
Cape Town City Centre,1655000,45,1,1,1
Cape Town City Centre,1850000,62,1,1,1
Sea Point,1850000,45,1,0.5,None
Rondebosch Village,3650000,None,1,3,2
Woodstock,1995000,117,1,2,None
Rosebank,1195000,53,1,2,None
Wynberg,760000,None,None,2,1
Constantia,3500000,291,2,3,2
Oranjezicht,2100000,66,1,1,None
Cape Town City Centre,1699000,43,1,1,1
Rondebosch East,2200000,61,1,2,2
Foreshore,3600000,54,1,1,1
Woodstock,2650000,None,2,1,1
Woodstock,1495000,83,1,2,1
Vredehoek,1790000,46,1,1,None
Bantry Bay,17995000,219,2.5,3,2
Green Point,3450000,82,None,2,None
Sea Point,1650000,52,1,0.5,1
Plumstead,2550000,448,2,4,2
Sea Point,2995000,98,1.5,2,1
Gardens,1195000,32,None,None,None
Green Point,2250000,77,1,2,None
Green Point,1299000,30,1,None,None
Camps Bay,4850000,84,1.5,2,1
Sea Point,6500000,183,2,4,2
Muizenberg,1395000,79,2,3,2
De Waterkant,7999000,142,2.5,2,2
Thornton,2350000,631,3,3,2
Belhar,900000,183,1,3,1
Thornton,2475000,598,1,3,5
Ottery,1100000,None,1,2,1
Camps Bay,9500000,253,2.5,3,3
Sea Point,11900000,800,3,4,4
Rondebosch,1950000,73,1,2,None
Three Anchor Bay,3795000,79,1,2,None
Sea Point,2650000,53,1,1,None
Plumstead,3980000,803,3.5,5,5
Kenilworth Upper,1475000,51,1,1,1
Mouille Point,10850000,177,2,2,2
Diep River,1395000,78,1.5,2,2
Zeekoevlei,1695000,329,2,3,4
Foreshore,2550000,52,1,1,1
Belgravia,2450000,495,2,3.5,3
Plumstead,950000,54,1,1,1
Green Point,7950000,378,3,3,1
Pinelands,3995000,676,5,5,5
Muizenberg,5500000,494,8,8,None
Sea Point,2500000,75,1,1,1
Kenilworth Upper,2650000,168,1,3,2
Bo Kaap,2600000,None,1,1,1
De Waterkant,12950000,149,3,3,None
Sea Point,2500000,100,2.5,2,2
Newlands,7200000,517,3,4,5
Woodstock,4500000,406,2,3,2
Claremont Upper,1695000,55,1,2,1
Kenilworth,1950000,66,2,2,1
Gardens,1350000,39,1,1,1
Pinelands,2100000,311,1,2,2
Pinelands,1695000,82,2,2,1
Cape Town City Centre,2695000,65,2,2,None
Claremont Upper,8250000,495,3.5,4,2
Claremont Upper,3500000,118,1.5,1,2
Cape Town City Centre,1795000,58,2,1,1
Sea Point,2999999,111,1.5,2,1
Cape Town City Centre,13000000,163,3.5,3,2
Muizenberg,935000,45,1,2,1
Zonnebloem,1850000,45,1,1,None
Oranjezicht,10500000,677,3,6,8
Zonnebloem,1490000,42,1,1,1
Foreshore,2850000,77,1,1,1
Claremont Upper,1950000,82,2,2,1
Wynberg Upper,5500000,430,3,3,2
Mowbray,4800000,739,4,9,6
Woodstock,2250000,None,2,5,None
Cape Town City Centre,1795000,47,1,1,None
Oranjezicht,2695000,40,1,1,1
Foreshore,2600000,55,1,1,1
Cape Town City Centre,1195000,31,1,1,None
Sea Point,5700000,126,2,2,2
Constantia,11950000,875,5.5,5,2
Green Point,5995000,158,2.5,3,2
Bel Ombre,18000000,5 392,3,4,7
Rosebank,3150000,122,2,3,2
Green Point,2695000,60,1,1,1
Sea Point,1700000,47,1,1,1
Lotus River,1450000,539,1,4,5
Observatory,2950000,None,1,3,2
Claremont Upper,1450000,62,1,1,2
Claremont,2799000,259,1,2,2
Mowbray,875000,34,1,1,1
Rosebank,850000,41,1,1,None
Grassy Park,1295000,None,1,2,2
Marina Da Gama,2450000,650,3,3,3
Constantia,15995000,8 293,2,4,9
Cape Town City Centre,11250000,172,2.5,3,2
Sea Point,2795000,91,2,2,1
Sea Point,4900000,92,2,2,2
Harfield Village,1995000,90,1.5,2,2
Retreat,1799000,None,2,5,1
Cape Town City Centre,1795000,56,2,2,1
Sea Point,5500000,250,None,4,None
Sea Point,2490000,51,1,1,None
Fresnaye,14495000,499,4.5,4,4
Claremont Upper,7500000,None,3.5,3,3
Sea Point,4850000,98,3,3,1
Llandudno,17500000,991,4,4,4
Maitland,650000,55,1,2,1
Woodstock,1700000,297,3,6,None
Retreat,1850000,491,2,5,5
Sea Point,2300000,64,1,1,1
Grassy Park,799995,50,1,2,1
Sea Point,3950000,76,1,2,2
Constantia,6500000,1 349,2,3,None
Rondebosch,1095000,30,1,None,None
Cape Town City Centre,1995000,37,1,1,1
Diep River,1250000,69,1,2,1
Gardens,2290000,61,1,2,1
Claremont,3795000,496,3,5,3
Rondebosch,1000000,39,1,0.5,None
Diep River,899000,35,1,1,None
Cape Town City Centre,1595000,61,1,1,1
Green Point,1995000,78,1,2,None
Marina Da Gama,3150000,670,3,3,4
Tamboerskloof,2195000,50,1,1,1
Clifton,32500000,308,3.5,4,None
Fresnaye,5995000,99,2,2,2
Claremont Upper,995000,36,1,0.5,None
De Waterkant,6750000,133,2.5,2,2
Sea Point,15950000,157,2,2,2
Woodstock,2500000,54,2,1,2
Sea Point,1600000,None,1,0.5,1
Mouille Point,1950000,45,1,1,None
Fresnaye,25000000,418,4.5,3,5
Lakeside,1950000,125,2.5,3,2
Camps Bay,8995000,495,3,4,2
De Waterkant,5350000,97,1.5,1,None
Steenberg,1200000,None,2,5,3
Retreat,1599000,478,1,5,7
Plumstead,2595000,440,2,3,4
Rondebosch,5795000,620,3,6,6
Thornton,795000,None,1,2,1
Constantia,10900000,1 817,2,4,4
Claremont,3000000,77,1,2,1
Rondebosch,1700000,84,1,2,None
Rondebosch,1995000,140,1,2,2
Camps Bay,11400000,495,4.5,4,4
Clifton,59500000,410,4.5,4,4
Camps Bay,21950000,515,5.5,4,4
Muizenberg,1195000,159,2,3,1
Kenilworth Upper,2399999,55,1,2,1
Foreshore,2850000,55,1,1,1
Bergvliet,4000000,337,2,3,4
De Waterkant,7995000,130,2,2,2
Foreshore,4200000,78,1,1,1
Cape Town City Centre,2750000,132,2,2,None
Fresnaye,3950000,125,2,2,1
Camps Bay,11750000,833,2,3,1
Camps Bay,28000000,1 342,6,6,4
Bantry Bay,14950000,227,3.5,4,None
Camps Bay,16990000,1 165,3.5,4,2
Mouille Point,15995000,117,2,2,1
Woodstock,1799000,None,1,1,1
Rondebosch,5950000,1 035,4,4,5
Waterfront,45000000,491,3.5,3,3
Wynberg Upper,999000,50,1,1,None
Cape Town City Centre,2720000,58,1,1,1
